"tournament","date","Team","GP","W","L","AGT","K","D","KD","CKPM","GPR","GSPD","EGR","MLR","GD15","FB%","FT%","F3T%","PPG","HLD%","GRB%","FD%","DRG%","ELD%","FBN%","BN%","LNE%","JNG%","WPM","CWPM","WCPM"
"LEC 2025 Winter Playoffs","2025-02-15","Team Heretics",2,0,2,29.8,11,35,0.31,0.77,-1.55,"-13.5%",24.4,-24.4,-1918,"0%","50%","50%",5.5,"0%","50%","50%","25%",,"0%","0%","49.3%","49.1%",2.82,1.19,1.21
"LEC 2025 Winter Playoffs","2025-02-16","Fnatic",2,2,0,29.8,35,11,3.18,0.77,1.55,"13.5%",75.6,24.4,1918,"100%","50%","50%",5.5,"100%","50%","50%","75%",,"50%","100%","50.7%","50.9%",3.14,0.91,1.26
"LEC 2025 Winter Playoffs","2025-02-16","G2 Esports",2,2,0,36.5,28,23,1.22,0.7,1.14,"4.0%",72.4,27.6,1534,"50%","0%","100%",8,"50%","25%","100%","70%",,"50%","100%","50.5%","55.0%",3.11,1.07,1.95
"LEC 2025 Winter Playoffs","2025-02-16","GiantX",2,0,2,36.5,23,28,0.82,0.7,-1.14,"-4.0%",27.6,-27.6,-1534,"50%","100%","0%",4.5,"50%","75%","0%","30%",,"0%","0%","49.5%","45.0%",3.41,1.29,1.76
"LEC 2025 Winter Playoffs","2025-02-16","Karmine Corp",2,2,0,38.8,43,28,1.54,0.92,2.41,"11.5%",92.2,7.8,4301,"100%","100%","100%",9,"100%","92%","0%","78%","100%","50%","100%","49.3%","57.3%",3.21,1.16,1.7
"LEC 2025 Winter Playoffs","2025-02-16","Movistar KOI",2,2,0,35.8,44,25,1.76,0.96,1.42,"15.6%",57.2,42.8,1254,"50%","50%","50%",7.5,"50%","67%","100%","64%",,"100%","100%","50.8%","59.8%",4.04,1.72,1.85
"LEC 2025 Winter Playoffs","2025-02-16","Team BDS",2,0,2,35.8,25,44,0.57,0.96,-1.42,"-15.6%",42.8,-42.8,-1254,"50%","50%","50%",5,"50%","33%","0%","36%",,"0%","0%","49.2%","40.2%",3.26,1.21,1.63
"LEC 2025 Winter Playoffs","2025-02-16","Team Heretics",2,0,2,29.8,11,35,0.31,0.77,-1.55,"-13.5%",24.4,-24.4,-1918,"0%","50%","50%",5.5,"0%","50%","50%","25%",,"0%","0%","49.3%","49.1%",2.82,1.19,1.21
"LEC 2025 Winter Playoffs","2025-02-16","Team Vitality",2,0,2,38.8,28,43,0.65,0.92,-2.41,"-11.5%",7.8,-7.8,-4301,"0%","0%","0%",2,"0%","8%","100%","22%","0%","0%","0%","50.7%","42.7%",3.25,1.3,1.67
"LEC 2025 Winter Playoffs","2025-02-17","Fnatic",4,2,2,33.7,65,62,1.05,0.94,0.57,"4.4%",63.2,-13.2,1114,"75%","75%","50%",4.8,"100%","67%","50%","53%",,"50%","67%","49.4%","50.5%",3.18,0.94,1.23
