Player;Country;Games;Win rate;KDA;Avg kills;Avg deaths;Avg assists;CSM;GPM;KP%;DMG%;DPM;VSPM;Avg WPM;Avg WCPM;Avg VWPM;GD@15;CSD@15;XPD@15;FB %;FB Victim;Penta Kills;Solo Kills
Only35; TR;33;42.4%;3.0;0.7;3.4;9.6;1.1;244;75.6%;6.9;173;3.52;1.8;0.43;0.46;-48;-1;-290;39.4%;18.2%;0;2
Orca; TW;35;48.6%;3.0;1.7;4.3;11.2;1.1;273;67.4%;10.5;305;3.39;1.58;0.48;0.39;42;-0;-67;28.6%;5.7%;0;3
OrthoZero; IT;20;45%;2.1;0.9;5.4;10.2;0.8;235;64.5%;7.9;201;3.06;1.78;0.22;0.42;-265;-1;-112;10%;20%;0;-
Oscarinin; ES;32;59.4%;2.8;2.4;3.0;5.9;7.9;385;52.2%;20.7;554;0.85;0.31;0.17;0.15;-146;-0;-53;18.8%;18.8%;0;9
Osman123; TR;14;21.4%;1.6;2.6;4.4;4.6;6.3;335;64.9%;14.9;389;1.5;0.34;0.3;0.3;-22;-4;-39;42.9%;7.1%;0;1
Ouzi; VN;9;44.4%;3.1;5.8;4.2;7.1;8.6;436;64.8%;29.2;790;0.91;0.32;0.25;0.12;21;-7;-1;44.4%;11.1%;0;1
Own3r; PT;21;47.6%;3.5;6.3;3.9;7.4;6.8;411;67.9%;22.1;622;1.07;0.28;0.19;0.2;217;9;255;42.9%;9.5%;0;11
P9; VN;10;40%;3.3;4.5;4.1;9.0;6.0;379;70.4%;19.2;530;1.27;0.43;0.25;0.4;266;-3;-112;10%;0%;0;4
PRIDE; CH;21;38.1%;2.0;2.5;3.8;5.0;8.0;390;45.7%;22.0;584;1.0;0.42;0.17;0.2;22;-3;83;28.6%;9.5%;0;6
Pabu; AU;9;33.3%;3.2;6.0;4.4;8.2;6.8;385;60.1%;22.9;706;1.49;0.32;0.34;0.28;-396;-4;-292;33.3%;0%;0;2
Paduck; KR;47;66%;4.5;5.0;2.7;6.9;8.8;439;65.7%;25.9;806;1.19;0.46;0.3;0.13;112;-1;185;19.1%;14.9%;0;14
Pain5; VN;17;52.9%;4.2;3.9;2.2;5.4;9.2;427;53.7%;21.1;596;1.24;0.53;0.28;0.19;-4;-1;137;17.6%;0%;0;3
Painful; SE;23;56.5%;2.6;4.3;4.0;6.3;8.4;414;62%;25.5;716;0.9;0.36;0.18;0.11;235;9;-66;8.7%;30.4%;0;5
Paixdia; TR;17;41.2%;2.5;0.8;4.2;9.7;1.0;237;77.2%;6.4;163;3.64;1.97;0.41;0.6;-107;1;-167;47.1%;5.9%;0;-
Palafox; US;31;38.7%;3.0;2.6;3.0;6.2;8.0;376;66.9%;24.5;610;1.12;0.42;0.2;0.18;-130;-4;-81;12.9%;3.2%;1;2
Pallet; GR;32;65.6%;4.3;3.9;3.1;9.5;5.9;362;70.4%;14.5;422;1.38;0.28;0.3;0.23;-68;-8;-260;37.5%;12.5%;0;5
Pan; AR;31;64.5%;4.2;4.2;2.4;5.9;8.1;414;56.5%;23.9;673;0.87;0.37;0.11;0.12;128;1;88;35.5%;6.5%;0;11
Pancake; AR;17;52.9%;3.2;3.0;2.9;6.3;6.5;364;71.3%;18.2;507;1.5;0.29;0.37;0.24;172;10;456;29.4%;17.6%;0;2
