Player;Country;Games;Win rate;KDA;Avg kills;Avg deaths;Avg assists;CSM;GPM;KP%;DMG%;DPM;VSPM;Avg WPM;Avg WCPM;Avg VWPM;GD@15;CSD@15;XPD@15;FB %;FB Victim;Penta Kills;Solo Kills
Aria; KR;5;40%;5.9;4.6;1.6;4.8;9.0;415;80.7%;32.2;722;1.03;0.29;0.25;0.21;216;1;43;40%;0%;0;-
Artemis; VN;7;14.3%;2.3;2.7;2.9;3.7;9.6;409;57.1%;27.9;624;1.32;0.37;0.42;0.12;-24;3;160;57.1%;0%;0;-
Ayu; BR;3;33.3%;4.4;3.0;2.3;7.3;8.9;413;66.4%;19.5;531;0.93;0.41;0.16;0.15;377;-9;97;33.3%;0%;0;-
Azhi; TW;4;0%;1.8;1.8;3.3;4.0;8.2;379;61.9%;33.7;771;1.0;0.37;0.2;0.11;192;-0;-92;25%;25%;0;1
Baiye; CN;14;35.7%;2.8;3.2;2.4;3.5;9.2;413;66.4%;27.6;593;0.92;0.44;0.21;0.1;-387;-;-;-;-;-;-
Bdd; KR;8;25%;3.1;3.4;3.0;5.9;8.5;395;64.1%;25.8;654;1.02;0.45;0.2;0.17;198;5;-28;0%;12.5%;0;3
Beichuan; CN;3;33.3%;1.4;0.3;5.0;6.7;6.1;318;68.8%;15.0;429;1.28;0.28;0.29;0.22;-520;-1;24;0%;0%;0;-
Berserker; KR;9;11.1%;2.7;2.2;2.9;5.6;9.2;402;66.5%;27.4;644;1.04;0.39;0.28;0.12;-37;4;43;33.3%;0%;0;-
BeryL; KR;10;70%;3.4;0.8;3.2;10.0;1.0;247;75.8%;8.9;243;3.39;1.68;0.42;0.44;-79;2;291;10%;20%;0;-
Betty; TW;4;0%;2.0;3.0;2.3;1.5;10.2;424;59.2%;24.6;589;1.35;0.36;0.46;0.09;172;4;351;25%;0%;0;-
Bin; CN;12;75%;5.8;3.1;2.2;9.5;8.2;402;58%;21.0;638;0.97;0.35;0.17;0.14;281;10;-53;0%;0%;0;-
BioPanther; AU;6;33.3%;3.5;2.0;1.8;4.3;8.3;375;51.1%;26.1;543;1.07;0.5;0.15;0.18;330;5;388;0%;0%;0;-
Blaber; US;6;66.7%;4.7;3.5;2.7;9.0;7.4;393;79.7%;13.8;435;1.51;0.28;0.38;0.23;-221;7;283;16.7%;16.7%;0;-
Boukada; FR;2;100%;8.7;2.5;1.5;10.5;5.6;363;61.3%;11.6;310;1.77;0.29;0.51;0.23;-671;-4;-373;0%;0%;0;-
Breathe; CN;16;43.8%;2.8;2.6;2.8;5.1;7.8;381;52.1%;21.3;569;1.08;0.42;0.17;0.18;51;-;-;-;-;-;-
Brokenblade; DE;10;50%;3.3;2.9;2.4;5.1;7.8;390;56%;23.7;664;1.15;0.47;0.18;0.25;-199;-4;-73;0%;10%;0;5
Bulldog; KR;9;11.1%;2.1;2.2;3.7;5.3;8.5;389;72.3%;29.0;691;1.3;0.51;0.26;0.25;-4;5;128;11.1%;22.2%;0;-
Busio; US;9;66.7%;4.6;1.0;2.6;10.8;1.1;263;70.2%;8.4;260;3.7;1.95;0.47;0.47;31;1;169;22.2%;0%;0;-
Bvoy; KR;5;80%;7.9;5.6;1.4;5.4;9.7;470;74.5%;33.9;886;1.21;0.39;0.42;0.1;76;6;-23;20%;0%;0;-
Bwipo; BE;8;62.5%;3.9;3.6;2.6;6.5;8.2;416;60.3%;25.5;781;0.94;0.44;0.13;0.16;592;10;541;25%;25%;0;4
Caliste; FR;5;80%;20.0;6.2;0.6;5.8;10.0;486;67.5%;27.7;738;0.94;0.46;0.22;0.12;296;8;272;40%;0%;0;-
Calix; KR;8;0%;1.8;2.1;3.0;3.1;8.5;387;48.4%;23.0;564;1.05;0.39;0.21;0.23;-342;-4;74;12.5%;0%;0;2
Canna; KR;5;80%;19.3;2.8;0.6;8.8;7.9;414;71%;22.4;573;1.03;0.49;0.17;0.21;65;-1;51;0%;0%;0;1
Canyon; KR;19;73.7%;4.8;3.4;2.5;8.6;6.4;380;68.6%;14.7;420;1.59;0.39;0.32;0.32;242;-2;51;52.6%;0%;0;3
Caps; DK;10;50%;2.5;3.2;2.9;4.1;8.4;397;49.3%;22.8;655;0.97;0.29;0.25;0.11;-29;1;-163;10%;10%;0;2
Care; CN;14;28.6%;2.5;2.9;3.3;5.4;7.6;369;81%;25.4;565;1.22;0.3;0.33;0.19;-432;-;-;-;-;-;-
Carlsen; DK;3;33.3%;1.5;3.3;3.7;2.3;8.0;374;52.5%;20.2;413;0.62;0.22;0.12;0.12;314;11;289;33.3%;33.3%;0;-
